iter	Passed	Remaining
849	2719	479
850	2722	476
851	2725	473
852	2728	470
853	2731	466
854	2734	463
855	2737	460
856	2740	457
857	2743	454
858	2746	450
859	2750	447
860	2753	444
861	2757	441
862	2760	438
863	2763	434
864	2766	431
865	2770	428
866	2773	425
867	2776	422
868	2779	419
869	2782	415
870	2785	412
871	2788	409
872	2791	406
873	2794	402
874	2797	399
875	2801	396
876	2804	393
877	2807	390
878	2810	386
879	2813	383
880	2816	380
881	2819	377
882	2823	374
883	2826	370
884	2829	367
885	2832	364
886	2835	361
887	2839	358
888	2842	354
889	2845	351
890	2849	348
891	2852	345
892	2855	342
893	2858	338
894	2861	335
895	2864	332
896	2867	329
897	2870	326
898	2873	322
899	2876	319
900	2880	316
901	2883	313
902	2886	310
903	2890	306
904	2892	303
905	2895	300
906	2898	297
907	2901	294
908	2905	290
909	2908	287
910	2911	284
911	2914	281
912	2917	278
913	2920	274
914	2923	271
915	2926	268
916	2930	265
917	2933	262
918	2936	258
919	2939	255
920	2941	252
921	2944	249
922	2947	245
923	2951	242
924	2954	239
925	2957	236
926	2960	233
927	2963	229
928	2966	226
929	2969	223
930	2972	220
931	2975	217
932	2980	214
933	2983	210
934	2986	207
935	2989	204
936	2993	201
937	2996	198
938	2999	194
939	3002	191
940	3005	188
941	3008	185
942	3011	182
943	3015	178
944	3019	175
945	3022	172
946	3025	169
947	3029	166
948	3032	162
949	3035	159
950	3038	156
951	3042	153
952	3045	150
953	3048	146
954	3051	143
955	3054	140
956	3058	137
957	3060	134
958	3063	130
959	3067	127
960	3070	124
961	3074	121
962	3077	118
963	3080	115
964	3083	111
965	3085	108
966	3088	105
967	3091	102
968	3095	99
969	3098	95
970	3101	92
971	3104	89
972	3107	86
973	3110	83
974	3112	79
975	3116	76
976	3119	73
977	3122	70
978	3125	67
979	3128	63
980	3131	60
981	3134	57
982	3137	54
983	3141	51
984	3144	47
985	3147	44
986	3150	41
987	3154	38
988	3157	35
989	3160	31
990	3163	28
991	3166	25
992	3169	22
993	3172	19
994	3176	15
995	3178	12
996	3181	9
997	3185	6
998	3187	3
999	3191	0
